Year,Annual CO2 emissions
1751,46.75264
1752,46.770959999999995
1753,46.770959999999995
1754,46.78928
1755,46.8076
1756,50.03192
1757,50.050239999999995
1758,50.06856
1759,50.086879999999994
1760,50.086879999999994
1761,54.8684
1762,54.886720000000004
1763,54.90504
1764,54.92336
1765,54.941680000000005
1766,61.298719999999996
1767,61.31704
1768,61.33536
1769,61.35368
1770,61.372
1771,68.0588
1772,68.07712
1773,68.09544
1774,68.11375999999998
1775,68.13208
1776,75.18528
1777,75.2036
1778,75.22192
1779,75.24024
1780,75.27688
1781,84.21704
1782,84.23536
1783,84.272
1784,84.29032000000001
1785,84.341616
1786,95.754976
1787,95.791616
1788,95.809936
1789,95.846576
1790,95.88321599999999
1791,107.095056
1792,109.476656
1793,109.56825599999999
1794,109.40337599999998
1795,109.45833599999999
1796,114.75281600000001
1797,120.46865600000001
1798,125.47001599999999
1799,132.13849599999998
1800,139.950144
1801,139.26131199999998
1802,183.331904
1803,156.84484799999998
1804,170.877968
1805,166.411552
1806,174.560288
1807,183.61403199999998
1808,174.53464
1809,174.64089600000003
1810,186.06158400000007
1811,197.01328
1812,204.06648
1813,205.05575999999996
1814,209.518512
1815,216.234624
1816,236.99484799999996
1817,245.71516799999998
1818,246.65315199999998
1819,248.210352
1820,251.85236799999996
1821,255.516368
1822,265.592368
1823,280.94452800000005
1824,290.59184000000005
1825,301.506896
1826,304.46374399999996
1827,326.6785759999999
1828,329.994496
1829,328.382336
1830,441.4350560000001
1831,418.110032
1832,419.5060160000001
1833,426.9769120000001
1834,435.66059200000007
1835,443.59315200000003
1836,514.414608
1837,512.842752
1838,530.155152
1839,547.0242080000002
1840,582.898432
1841,600.665168
1842,633.681472
1843,648.733184
1844,688.498576
1845,753.6408319999999
1846,763.52264
1847,831.8379199999998
1848,835.4726080000002
1849,881.0674240000001
1850,944.8356799999999
1851,944.5022559999998
1852,983.9232320000001
1853,1025.2897920000003
1854,1208.8671840000002
1855,1223.962864
1856,1305.655408
1857,1316.4935200000002
1858,1335.8944000000001
1859,1413.398992
1860,1555.7747039999995
1861,1643.2417120000005
1862,1670.1977599999996
1863,1772.9253280000003
1864,1910.3363200000003
1865,2034.2418079999998
1866,2099.5489439999997
1867,2230.595568
1868,2276.0914560000006
1869,2404.408399999999
1870,2450.0105439999998
1871,2607.2217920000003
1872,2860.4225120000006
1873,3027.940592
1874,2824.398064
1875,3083.197376
1876,3123.919072
1877,3160.7789119999998
1878,3188.2149440000003
1879,3373.1626719999995
1880,3813.3592960000005
1881,3931.8677119999993
1882,4125.656671999999
1883,4378.773120000001
1884,4402.9371999999985
1885,4428.423983999999
1886,4472.784032
1887,4681.232655999999
1888,5116.328991999999
1889,5185.234176
1890,5579.308368
1891,5823.162224000001
1892,5829.237135999999
1893,5733.002175999999
1894,6020.6078560000005
1895,6322.957472
1896,6556.002528
1897,6871.161488
1898,7207.329824
1899,7821.79728
1900,8245.656128
1901,8423.546991999998
1902,8579.585760000002
1903,9244.872896
1904,9373.515936
1905,9888.941808000003
1906,10342.490048000001
1907,11645.529359999997
1908,11369.032927999997
1909,11702.006256
1910,12173.225968000002
1911,12428.269679999998
1912,12987.927359999998
1913,14070.727296000003
1914,12714.937376000002
1915,12414.364800000001
1916,13311.301008
1917,13758.697391999998
1918,13352.784816
1919,11551.309600000002
1920,13444.443440000001
1921,11924.381744
1922,12665.550319999998
1923,13861.446944000001
1924,14280.187184000002
1925,14327.243936
1926,13700.952752
1927,15434.460767999999
1928,15457.338784000007
1929,16627.755952
1930,15448.354655999998
1931,13944.813936000002
1932,12694.580191999996
1933,13318.786560000004
1934,14532.149472
1935,15263.007551999997
1936,16639.803184
1937,17850.729536000003
1938,17079.431888
1939,17908.239680000006
1940,19442.774176000003
1941,19592.639103999998
1942,19450.409951999998
1943,20095.838208
1944,19497.188239999992
1945,15623.874912000003
1946,17646.479856
1947,19709.19094400001
1948,20822.160256000003
1949,20680.531999999992
1950,22456.967439999993
1951,24309.636064000002
1952,24747.619631999998
1953,25457.149567999997
1954,26243.28641599999
1955,28724.836671999983
1956,30605.34803199999
1957,31720.673295999997
1958,32579.786031999993
1959,52409.91162634805
1960,55271.24447748371
1961,55703.991652868615
1962,57933.72506025564
1963,61345.71962777769
1964,64566.87646205745
1965,67444.33831370888
1966,70444.99728691288
1967,72651.90421527113
1968,76564.70432209325
1969,81527.35363614986
1970,87951.91003418308
1971,91490.42778616882
1972,95446.50952889293
1973,100536.53116849926
1974,100480.81253759818
1975,100518.42280632946
1976,106133.4471356043
1977,108843.6392916758
1978,112291.08296409526
1979,115941.61651037286
1980,115438.20797902683
1981,112269.47530868626
1982,111520.52676702446
1983,112281.7991706793
1984,115420.59598121724
1985,119519.20200472685
1986,121319.14319124912
1987,124205.42218742508
1988,128532.16716376776
1989,130408.79217925598
1990,132876.5420416402
1991,134443.9120334123
1992,129363.04377002404
1993,129861.82595117507
1994,130254.03586264724
1995,132588.89203119453
1996,136127.36384469655
1997,136667.0015347829
1998,136079.347846894
1999,137223.11736967813
2000,140974.49789993546
2001,142756.20574330285
2002,145342.0900905838
2003,152111.1042811621
2004,158625.3465912799
2005,163521.24374908645
2006,168644.2802400183
2007,172759.47463563364
2008,176581.828774812
2009,173478.45945453874
2010,182059.96397218632
2011,187860.3254950252
2012,190700.77208662915
2013,191221.49561123786
2014,192191.07090374234
2015,192239.35690515308
2016,193026.44831909516
2017,195418.41791011204
2018,198997.0419681313
